[NONE   ][0][2013-05-21T18:07:36.975127]:[644]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-21T18:12:03.394365]:[4884]: Player: 'xmike54x', action: 'Call', amount: '1340' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:11.854849]:[4884]: Player: 'caniche61', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:15.886080]:[4884]: Player: 'caniche61', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:16.342106]:[4884]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:18.186211]:[4884]: Cards received: ('Two' of 'Hearts')('Seven' of 'Hearts')('Six' of 'Diamonds')('Five' of 'Diamonds')('Ten' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-21T18:12:19.313276]:[4884]: Player: 'gando60', action: 'ShowCards', cards: '8c9s' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:19.314276]:[4884]: Player: 'xmike54x', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:19.314276]:[4884]: Player: 'xmike54x', action: 'ShowCards', cards: 'JcJs' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:20.755358]:[4884]: Player: 'xmike54x', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:20.755358]:[4884]: Player: 'xmike54x', action: 'Rank', amount: '9' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:22.414453]:[4884]: Player cards: ('Four' of 'Diamonds')('Seven' of 'Hearts') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-21T18:12:27.074720]:[4884]: Player: 'madad2424', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:27.074720]:[4884]: Player: 'madad2424', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:32.116008]:[4884]: Player: 'beby Ellye', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:32.397024]:[4884]: Player: 'gando60', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:33.912111]:[4884]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:36.035232]:[4884]: Player: 'silviazgz', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:39.970457]:[4884]: Player: 'commandable', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:39.970457]:[4884]: Player: 'commandable', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:42.429598]:[4884]: Player: 'marnayla', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:44.863737]:[4884]: Player: 'caniche61', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-21T18:12:45.788790]:[4884]: Cards received: ('Ace' of 'Hearts')('Ten' of 'Diamonds')('Eight' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-21T18:12:53.965258]:[4884]: Player: 'caniche61', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
